Champion,Advantage|% Advantage,Percentile,Count|Number of Players,Smoothed Count|Number of Players,Normalized Count|Normalized Number of Players,Smoothed Normalized Count|Normalized Number of Players,countatadvantage
Makoa,0.525,0.99943,24,30.038, 2.5442e-04, 3.1842e-04,528
Makoa,0.550,0.99975,31,36.399, 3.2862e-04, 3.8585e-04,243
Khan,-0.475,0.00020,2,5.810, 4.0582e-05, 1.1789e-04,271
Khan,-0.450,0.00036,11,13.196, 2.2320e-04, 2.6776e-04,580
Khan,-0.425,0.00070,28,29.386, 5.6815e-04, 5.9627e-04,1141
Khan,-0.400,0.00137,42,49.696, 8.5222e-04, 1.0084e-03,2264
Khan,-0.375,0.00271,80,91.595, 1.6233e-03, 1.8586e-03,4127
Khan,-0.350,0.00516,142,161.291, 2.8813e-03, 3.2728e-03,7011
Khan,-0.325,0.00931,268,283.158, 5.4380e-03, 5.7456e-03,11155
Khan,-0.300,0.01591,413,439.475, 8.3802e-03, 8.9174e-03,16516
Khan,-0.275,0.02568,656,665.791, 1.3311e-02, 1.3510e-02,23856
Khan,-0.250,0.03980,909,917.500, 1.8444e-02, 1.8617e-02,32221
Khan,-0.225,0.05887,1169,1191.013, 2.3720e-02, 2.4167e-02,41799
Khan,-0.200,0.08361,1517,1522.810, 3.0781e-02, 3.0899e-02,52324
Khan,-0.175,0.11457,1857,1860.797, 3.7680e-02, 3.7757e-02,62664
Khan,-0.150,0.15166,2243,2215.006, 4.5513e-02, 4.4945e-02,73334
Khan,-0.125,0.19506,2512,2497.165, 5.0971e-02, 5.0670e-02,82203
Khan,-0.100,0.24371,2749,2743.228, 5.5780e-02, 5.5663e-02,88659
Khan,-0.075,0.29618,2994,2964.816, 6.0751e-02, 6.0159e-02,94456
Khan,-0.050,0.35208,3187,3119.766, 6.4667e-02, 6.3303e-02,97945
Khan,-0.025,0.41004,3113,3099.266, 6.3166e-02, 6.2887e-02,98864
Khan,0.000,0.46855,3078,3052.329, 6.2456e-02, 6.1935e-02,97205
Khan,0.025,0.52608,2955,2935.924, 5.9960e-02, 5.9573e-02,94342
Khan,0.050,0.58191,2743,2763.222, 5.5658e-02, 5.6068e-02,89831
Khan,0.075,0.63508,2674,2644.184, 5.4258e-02, 5.3653e-02,84775
Khan,0.100,0.68525,2473,2441.785, 5.0180e-02, 4.9546e-02,78203
Khan,0.125,0.73153,2188,2175.715, 4.4397e-02, 4.4147e-02,71645
Khan,0.150,0.77393,1839,1869.177, 3.7315e-02, 3.7927e-02,64521
Khan,0.175,0.81212,1651,1642.975, 3.3500e-02, 3.3338e-02,57137
Khan,0.200,0.84593,1380,1386.152, 2.8002e-02, 2.8126e-02,50898
Khan,0.225,0.87605,1152,1154.842, 2.3375e-02, 2.3433e-02,43913
Khan,0.250,0.90204,917,927.684, 1.8607e-02, 1.8824e-02,37846
Khan,0.275,0.92444,716,729.025, 1.4528e-02, 1.4793e-02,32110
Khan,0.300,0.94344,550,560.468, 1.1160e-02, 1.1372e-02,26446
Khan,0.325,0.95909,423,421.633, 8.5831e-03, 8.5553e-03,20875
Khan,0.350,0.97145,266,279.203, 5.3974e-03, 5.6653e-03,15903
Khan,0.375,0.98086,158,173.380, 3.2060e-03, 3.5180e-03,11884
Khan,0.400,0.98789,89,102.601, 1.8059e-03, 2.0819e-03,8085
Khan,0.425,0.99268,66,68.038, 1.3392e-03, 1.3806e-03,5329
Khan,0.450,0.99583,32,37.589, 6.4931e-04, 7.6271e-04,3259
Khan,0.475,0.99776,24,24.424, 4.8698e-04, 4.9559e-04,1891
Khan,0.500,0.99888,8,10.880, 1.6233e-04, 2.2076e-04,938
Khan,0.525,0.99943,5,5.905, 1.0145e-04, 1.1982e-04,528
Khan,0.550,0.99975,4,5.095, 8.1164e-05, 1.0338e-04,243
Inara,-0.475,0.00020,10,11.449, 1.2955e-04, 1.4833e-04,271
Inara,-0.450,0.00036,6,8.576, 7.7730e-05, 1.1110e-04,580
Inara,-0.425,0.00070,21,21.873, 2.7206e-04, 2.8337e-04,1141
Inara,-0.400,0.00137,29,37.044, 3.7570e-04, 4.7992e-04,2264
Inara,-0.375,0.00271,66,74.778, 8.5503e-04, 9.6877e-04,4127
Inara,-0.350,0.00516,118,133.108, 1.5287e-03, 1.7244e-03,7011
Inara,-0.325,0.00931,220,232.506, 2.8501e-03, 3.0122e-03,11155
Inara,-0.300,0.01591,341,362.405, 4.4177e-03, 4.6950e-03,16516
Inara,-0.275,0.02568,530,550.456, 6.8662e-03, 7.1312e-03,23856
Inara,-0.250,0.03980,759,789.177, 9.8329e-03, 1.0224e-02,32221
Inara,-0.225,0.05887,1078,1106.032, 1.3966e-02, 1.4329e-02,41799
Inara,-0.200,0.08361,1470,1491.532, 1.9044e-02, 1.9323e-02,52324
Inara,-0.175,0.11457,1922,1926.177, 2.4900e-02, 2.4954e-02,62664
Inara,-0.150,0.15166,2416,2382.829, 3.1299e-02, 3.0870e-02,73334
Inara,-0.125,0.19506,2732,2748.956, 3.5393e-02, 3.5613e-02,82203
Inara,-0.100,0.24371,3177,3170.968, 4.1158e-02, 4.1080e-02,88659
Inara,-0.075,0.29618,3553,3559.329, 4.6029e-02, 4.6112e-02,94456
Inara,-0.050,0.35208,4005,3970.671, 5.1885e-02, 5.1441e-02,97945
Inara,-0.025,0.41004,4323,4283.778, 5.6005e-02, 5.5497e-02,98864
Inara,0.000,0.46855,4578,4514.196, 5.9308e-02, 5.8482e-02,97205
Inara,0.025,0.52608,4574,4563.962, 5.9256e-02, 5.9127e-02,94342
Inara,0.050,0.58191,4684,4612.987, 6.0681e-02, 5.9762e-02,89831
Inara,0.075,0.63508,4438,4458.703, 5.7494e-02, 5.7763e-02,84775
Inara,0.100,0.68525,4373,4369.392, 5.6652e-02, 5.6606e-02,78203
Inara,0.125,0.73153,4281,4246.380, 5.5461e-02, 5.5013e-02,71645
Inara,0.150,0.77393,4117,4047.418, 5.3336e-02, 5.2435e-02,64521
Inara,0.175,0.81212,3702,3679.797, 4.7960e-02, 4.7672e-02,57137
Inara,0.200,0.84593,3224,3249.873, 4.1767e-02, 4.2103e-02,50898
Inara,0.225,0.87605,2918,2891.095, 3.7803e-02, 3.7455e-02,43913
Inara,0.250,0.90204,2423,2445.880, 3.1390e-02, 3.1687e-02,37846
Inara,0.275,0.92444,2079,2071.177, 2.6934e-02, 2.6832e-02,32110
Inara,0.300,0.94344,1688,1673.690, 2.1868e-02, 2.1683e-02,26446
Inara,0.325,0.95909,1211,1242.456, 1.5689e-02, 1.6096e-02,20875
Inara,0.350,0.97145,870,894.753, 1.1271e-02, 1.1592e-02,15903
Inara,0.375,0.98086,581,603.475, 7.5269e-03, 7.8181e-03,11884
Inara,0.400,0.98789,345,371.215, 4.4695e-03, 4.8092e-03,8085
Inara,0.425,0.99268,188,208.880, 2.4355e-03, 2.7061e-03,5329
Inara,0.450,0.99583,69,95.519, 8.9390e-04, 1.2375e-03,3259
Inara,0.475,0.99776,49,53.456, 6.3480e-04, 6.9253e-04,1891
Inara,0.500,0.99888,13,20.057, 1.6842e-04, 2.5984e-04,938
Inara,0.525,0.99943,7,9.171, 9.0685e-05, 1.1881e-04,528
Inara,0.550,0.99975,2,4.095, 2.5910e-05, 5.3051e-05,243
Fernando,-0.475,0.00020,13,16.335, 1.4294e-04, 1.7962e-04,271
Fernando,-0.450,0.00036,17,17.120, 1.8692e-04, 1.8824e-04,580
Fernando,-0.425,0.00070,19,27.399, 2.0891e-04, 3.0126e-04,1141
Fernando,-0.400,0.00137,52,61.627, 5.7176e-04, 6.7761e-04,2264
Fernando,-0.375,0.00271,101,118.665, 1.1105e-03, 1.3048e-03,4127
Fernando,-0.350,0.00516,206,221.741, 2.2651e-03, 2.4381e-03,7011
Fernando,-0.325,0.00931,349,366.044, 3.8374e-03, 4.0248e-03,11155
Fernando,-0.300,0.01591,528,557.797, 5.8056e-03, 6.1332e-03,16516
Fernando,-0.275,0.02568,776,820.652, 8.5324e-03, 9.0234e-03,23856
Fernando,-0.250,0.03980,1187,1201.323, 1.3052e-02, 1.3209e-02,32221
Fernando,-0.225,0.05887,1587,1617.684, 1.7450e-02, 1.7787e-02,41799
Fernando,-0.200,0.08361,2069,2108.342, 2.2750e-02, 2.3182e-02,52324
Fernando,-0.175,0.11457,2724,2701.348, 2.9952e-02, 2.9703e-02,62664
Fernando,-0.150,0.15166,3246,3230.595, 3.5691e-02, 3.5522e-02,73334
Fernando,-0.125,0.19506,3758,3737.772, 4.1321e-02, 4.1098e-02,82203
Fernando,-0.100,0.24371,4166,4171.120, 4.5807e-02, 4.5863e-02,88659
Fernando,-0.075,0.29618,4727,4642.171, 5.1975e-02, 5.1043e-02,94456
Fernando,-0.050,0.35208,4851,4863.880, 5.3339e-02, 5.3481e-02,97945
Fernando,-0.025,0.41004,5237,5155.184, 5.7583e-02, 5.6684e-02,98864
Fernando,0.000,0.46855,5217,5202.285, 5.7363e-02, 5.7201e-02,97205
Fernando,0.025,0.52608,5291,5239.070, 5.8177e-02, 5.7606e-02,94342
Fernando,0.050,0.58191,5149,5127.620, 5.6615e-02, 5.6380e-02,89831
Fernando,0.075,0.63508,4974,4963.291, 5.4691e-02, 5.4574e-02,84775
Fernando,0.100,0.68525,4814,4772.728, 5.2932e-02, 5.2478e-02,78203
Fernando,0.125,0.73153,4479,4472.316, 4.9248e-02, 4.9175e-02,71645
Fernando,0.150,0.77393,4163,4160.139, 4.5774e-02, 4.5743e-02,64521
Fernando,0.175,0.81212,3844,3833.430, 4.2266e-02, 4.2150e-02,57137
Fernando,0.200,0.84593,3493,3477.481, 3.8407e-02, 3.8236e-02,50898
Fernando,0.225,0.87605,3112,3091.076, 3.4218e-02, 3.3988e-02,43913
Fernando,0.250,0.90204,2620,2640.886, 2.8808e-02, 2.9038e-02,37846
Fernando,0.275,0.92444,2279,2256.006, 2.5059e-02, 2.4806e-02,32110
Fernando,0.300,0.94344,1783,1800.335, 1.9605e-02, 1.9795e-02,26446
Fernando,0.325,0.95909,1388,1404.190, 1.5262e-02, 1.5440e-02,20875
Fernando,0.350,0.97145,996,1032.924, 1.0951e-02, 1.1357e-02,15903
Fernando,0.375,0.98086,773,767.924, 8.4995e-03, 8.4437e-03,11884
Fernando,0.400,0.98789,446,480.981, 4.9040e-03, 5.2886e-03,8085
Fernando,0.425,0.99268,271,294.152, 2.9798e-03, 3.2343e-03,5329
Fernando,0.450,0.99583,137,158.133, 1.5064e-03, 1.7387e-03,3259
Fernando,0.475,0.99776,63,78.222, 6.9271e-04, 8.6008e-04,1891
Fernando,0.500,0.99888,32,37.949, 3.5185e-04, 4.1727e-04,938
Fernando,0.525,0.99943,8,13.348, 8.7963e-05, 1.4677e-04,528
Fernando,0.550,0.99975,2,5.449, 2.1991e-05, 5.9918e-05,243
Barik,-0.475,0.00020,9,10.487, 1.5160e-04, 1.7665e-04,271
Barik,-0.450,0.00036,8,9.975, 1.3475e-04, 1.6802e-04,580
Barik,-0.425,0.00070,15,20.633, 2.5266e-04, 3.4755e-04,1141
Barik,-0.400,0.00137,42,47.051, 7.0745e-04, 7.9253e-04,2264
Barik,-0.375,0.00271,75,86.089, 1.2633e-03, 1.4501e-03,4127
Barik,-0.350,0.00516,141,155.171, 2.3750e-03, 2.6137e-03,7011
Barik,-0.325,0.00931,240,260.032, 4.0426e-03, 4.3800e-03,11155
Barik,-0.300,0.01591,394,415.278, 6.6366e-03, 6.9951e-03,16516
Barik,-0.275,0.02568,614,631.854, 1.0342e-02, 1.0643e-02,23856
Barik,-0.250,0.03980,831,881.690, 1.3997e-02, 1.4851e-02,32221
Barik,-0.225,0.05887,1283,1271.228, 2.1611e-02, 2.1413e-02,41799
Barik,-0.200,0.08361,1608,1619.120, 2.7085e-02, 2.7273e-02,52324
Barik,-0.175,0.11457,2011,2011.646, 3.3873e-02, 3.3885e-02,62664
Barik,-0.150,0.15166,2380,2391.057, 4.0089e-02, 4.0276e-02,73334
Barik,-0.125,0.19506,2839,2799.272, 4.7820e-02, 4.7152e-02,82203
Barik,-0.100,0.24371,3173,3117.715, 5.3446e-02, 5.2516e-02,88659
Barik,-0.075,0.29618,3256,3284.525, 5.4844e-02, 5.5325e-02,94456
Barik,-0.050,0.35208,3581,3529.411, 6.0319e-02, 5.9450e-02,97945
Barik,-0.025,0.41004,3700,3634.747, 6.2323e-02, 6.1225e-02,98864
Barik,0.000,0.46855,3583,3581.677, 6.0352e-02, 6.0331e-02,97205
Barik,0.025,0.52608,3540,3521.886, 5.9628e-02, 5.9324e-02,94342
Barik,0.050,0.58191,3469,3418.424, 5.8432e-02, 5.7581e-02,89831
Barik,0.075,0.63508,3149,3171.722, 5.3042e-02, 5.3425e-02,84775
Barik,0.100,0.68525,3045,3001.589, 5.1290e-02, 5.0560e-02,78203
Barik,0.125,0.73153,2707,2706.354, 4.5597e-02, 4.5587e-02,71645
Barik,0.150,0.77393,2393,2416.930, 4.0308e-02, 4.0711e-02,64521
Barik,0.175,0.81212,2195,2183.918, 3.6973e-02, 3.6786e-02,57137
Barik,0.200,0.84593,1923,1919.310, 3.2391e-02, 3.2329e-02,50898
Barik,0.225,0.87605,1642,1649.715, 2.7658e-02, 2.7788e-02,43913
