Map,Champion,Winrate|% Games Won,Count
Splitstone Quarry,Mal'Damba,0.4416,5435
Splitstone Quarry,Moji,0.5454,2895
Splitstone Quarry,Pip,0.5015,3370
Splitstone Quarry,Ruckus,0.4275,4889
Splitstone Quarry,Seris,0.4496,11675
Splitstone Quarry,Sha Lin,0.3915,1221
Splitstone Quarry,Skye,0.4785,4621
Splitstone Quarry,Strix,0.4402,8967
Splitstone Quarry,Talus,0.4859,2509
Splitstone Quarry,Terminus,0.5517,4979
Splitstone Quarry,Torvald,0.4624,4338
Splitstone Quarry,Tyra,0.5384,10646
Splitstone Quarry,Viktor,0.4597,8037
Splitstone Quarry,Vivian,0.5214,5664
Splitstone Quarry,Willo,0.6090,6424
Splitstone Quarry,Ying,0.4824,4592
Splitstone Quarry,Zhin,0.5416,7504
Stone Keep,Androxus,0.4295,1043
Stone Keep,Ash,0.5000,3376
Stone Keep,Atlas,0.4807,1190
Stone Keep,Barik,0.5104,4528
Stone Keep,Bomb King,0.5770,2298
Stone Keep,Buck,0.5167,449
Stone Keep,Cassie,0.4706,1953
Stone Keep,Dredge,0.4872,940
Stone Keep,Drogoz,0.5253,1445
Stone Keep,Evie,0.4529,1369
Stone Keep,Fernando,0.5083,1798
Stone Keep,Furia,0.5194,2064
Stone Keep,Grohk,0.4798,694
Stone Keep,Grover,0.5106,1040
Stone Keep,Imani,0.3903,351
Stone Keep,Inara,0.5403,4540
Stone Keep,Io,0.5718,1782
Stone Keep,Jenos,0.5174,3477
Stone Keep,Khan,0.4941,4185
Stone Keep,Kinessa,0.3667,480
Stone Keep,Koga,0.4805,614
Stone Keep,Lex,0.3816,359
Stone Keep,Lian,0.4347,2528
Stone Keep,Maeve,0.5076,2376
Stone Keep,Makoa,0.5003,1861
Stone Keep,Mal'Damba,0.4338,1360
Stone Keep,Moji,0.5551,935
Stone Keep,Pip,0.5182,797
Stone Keep,Ruckus,0.4523,1351
Stone Keep,Seris,0.4597,2930
Stone Keep,Sha Lin,0.3811,349
Stone Keep,Skye,0.4938,1126
Stone Keep,Strix,0.4399,1357
Stone Keep,Talus,0.4690,548
Stone Keep,Terminus,0.5451,1231
Stone Keep,Torvald,0.4880,1416
Stone Keep,Tyra,0.5111,2215
Stone Keep,Viktor,0.4633,2109
Stone Keep,Vivian,0.5304,1448
Stone Keep,Willo,0.5878,1065
Stone Keep,Ying,0.5019,1283
Stone Keep,Zhin,0.5411,2310
Warder's Gate,Androxus,0.4164,5163
Warder's Gate,Ash,0.5255,19023
Warder's Gate,Atlas,0.4686,7842
Warder's Gate,Barik,0.5208,24217
Warder's Gate,Bomb King,0.5298,10466
Warder's Gate,Buck,0.5019,2381
Warder's Gate,Cassie,0.4611,10343
Warder's Gate,Dredge,0.5289,6164
Warder's Gate,Drogoz,0.5182,7511
Warder's Gate,Evie,0.4890,6315
Warder's Gate,Fernando,0.4938,10180
Warder's Gate,Furia,0.5200,11101
Warder's Gate,Grohk,0.5323,4520
Warder's Gate,Grover,0.5068,6202
Warder's Gate,Imani,0.4461,2087
Warder's Gate,Inara,0.5266,25276
Warder's Gate,Io,0.5528,9686
Warder's Gate,Jenos,0.5201,20871
Warder's Gate,Khan,0.4882,23040
Warder's Gate,Kinessa,0.3637,2505
Warder's Gate,Koga,0.4548,3419
Warder's Gate,Lex,0.3839,2985
Warder's Gate,Lian,0.4383,13330
Warder's Gate,Maeve,0.5091,11832
Warder's Gate,Makoa,0.5085,12113
Warder's Gate,Mal'Damba,0.4405,7628
Warder's Gate,Moji,0.5487,5019
Warder's Gate,Pip,0.4878,3940
Warder's Gate,Ruckus,0.4265,6401
Warder's Gate,Seris,0.4579,16311
Warder's Gate,Sha Lin,0.4231,1839
Warder's Gate,Skye,0.4770,6877
Warder's Gate,Strix,0.4217,6033
Warder's Gate,Talus,0.4911,4376
Warder's Gate,Terminus,0.5469,7274
Warder's Gate,Torvald,0.4950,5602
Warder's Gate,Tyra,0.5362,16746
Warder's Gate,Viktor,0.4590,10820
Warder's Gate,Vivian,0.5201,8387
Warder's Gate,Willo,0.5787,8559
Warder's Gate,Ying,0.4903,6166
Warder's Gate,Zhin,0.5293,13150
